ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,162,C:\SysInternals\autorunsc64.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,163,C:\SysInternals\Bginfo.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,164,C:\SysInternals\Bginfo64.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,165,C:\SysInternals\Cacheset.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,166,C:\SysInternals\Clockres.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,167,C:\SysInternals\Clockres64.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,168,C:\SysInternals\ADExplorer.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,169,C:\SysInternals\Contig.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,170,C:\SysInternals\Contig64.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,171,C:\SysInternals\ADInsight.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,172,C:\SysInternals\Coreinfo.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,173,C:\SysInternals\adrestore.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,174,C:\SysInternals\ctrl2cap.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,175,C:\SysInternals\accesschk.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,176,C:\SysInternals\AccessEnum.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,177,C:\SysInternals\Autologon.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,178,C:\SysInternals\accesschk64.exe,2019-11-27 10:04:14,NA,False,Live Registry
1,179,C:\WINDOWS\system32\MusNotifyIcon.exe,2021-07-22 07:50:12,NA,False,Live Registry
1,180,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-07-30 21:11:09,NA,False,Live Registry
1,181,C:\Users\john\Desktop\Everything\Forensics_tools\rr_2.02\rr.exe,2008-05-12 09:54:28,NA,False,Live Registry
1,182,C:\Users\john\Desktop\Everything\Forensics_tools\rr_2.02\rip.exe,2008-05-12 09:54:52,NA,False,Live Registry
1,183,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Application,2021-07-22 03:22:47,NA,False,Live Registry
1,184,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\Application,2021-07-22 03:22:43,NA,False,Live Registry
1,185,C:\Users\john\Desktop\Everything\Forensics_tools\$I_Parse_v1.1\$I_Parse.exe,2017-11-17 14:14:28,NA,False,Live Registry
1,186,C:\Program Files (x86)\Redline\Redline.exe,2020-04-27 08:58:06,NA,False,Live Registry
1,187,C:\WINDOWS\system32\SearchFilterHost.exe,2021-07-22 07:50:07,NA,False,Live Registry
1,188,C:\Windows\System32\RuntimeBroker.exe,2021-07-22 07:50:02,NA,False,Live Registry
1,189,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Application,2021-07-22 03:22:30,NA,False,Live Registry
1,190,C:\Windows\Installer\{356BAB50-AA8B-4390-BE39-FAC9F9D1E7AE}\_1E77005D970C18DDCA3C84.exe,2021-08-11 20:31:15,NA,False,Live Registry
1,191,C:\Windows\Installer\{356BAB50-AA8B-4390-BE39-FAC9F9D1E7AE}\_5D7B4D2F7AAA38A32CB644.exe,2021-08-11 20:31:15,NA,False,Live Registry
1,192,C:\Users\john\AppData\Roaming\Zoom\bin\Zoom.exe,2021-08-02 06:43:56,NA,False,Live Registry
1,193,C:\Users\john\AppData\Local\exodus\Exodus.exe,2021-08-01 14:07:29,NA,False,Live Registry
1,194,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,2021-08-05 06:45:01,NA,False,Live Registry
1,195,C:\Program Files (x86)\TeamViewer\TeamViewer.exe,2020-12-14 14:40:03,NA,False,Live Registry
1,196,C:\Program Files\McAfee Security Scan\3.11.1924\McUICnt.exe,2020-08-07 12:12:20,NA,False,Live Registry
